,tweet
0,Resistance to Apartheid. We will #FreePalestine from the tyranny of opprsssion using British Manufactured Weapons #Elbit #BDS https://t.co/NmBEvCZaRD
1,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
2,"@PEFMISSIONS @Demis36Roman Blame #America ,the enabler of #IsraeliCrimes !"
3,"Amnesty's Executive Director in Ireland Colm O'Gorman speaks about Amnesty's report on Israel's apartheid, that has built on decades of work by Palestinians. This is the first of many public events in the Irish campaign to #EndIsraeliApartheid.

#Nakba74 https://t.co/Z5VKyHtV3F"
4,RT @kamelhawwash: #Palestinian students at Tel Aviv university marking 74 years of their #Nakba attacked by the #ApartheidIsrael police for…
5,"A great interview with @Barahmeh on the @OwenJones84 show. Well worth a catch up. Salems message to us in the UK is clear: support #BDS &amp; do everything we can to make our govt hold Israel  accountable for its violations of human rights &amp; war crimes (1/4)
https://t.co/eYMAdB3miv"
6,"RT @BDSmovement: #BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for populatio…"
7,"RT @Soureh_design2: A reverted Muslim British YouTuber, Jay Palfrey, was interrogated and #assaulted for 6 hours in the border of #Aparthei…"
8,"Funeral procession for Shireen Abu Akleh
disrupted by lsraeli police violence

#ICC4Israel #ApartheidIsrael #BDS #ShireenAbuAqleh
https://t.co/spuk5vCunF"
9,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
10,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
11,@NanaiaMahuta A cowardly response. No mention that Israel slaughtered this journalist. No mention that uniformed Israeli thugs were responsible for violently beating the pallbearers at the funeral. Yet ANOTHER journalist murdered by the apartheid state. Take action!!! #BDS
12,"RT @dimitrilascaris: Israeli journalist Gideon Levy:

“Abu Akleh died a hero, doing her job. She was a braver journalist than all Israeli j…"
13,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
14,"RT @Myedworld_pvt: Dear Medical Aspirants
Top Dental Colleges In Punjab 2022-2023: Admission Procedure, Exams, Counselling and Documents
vi…"
15,RT @RobertR41182121: Palestine real estate properties and land stolen by the satanic #ZIONAZI apartheid land stealing &amp; human rights violat…
16,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
17,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
18,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
19,"RT @PDissadent: Check the label when you shop🛒 #BoycottIsrael Look for origin. Boycott produce made in israel, West Bank, Jordan Valley, Go…"
20,"RT @rula_z: @Elias_Jahshan This is the story of every #Palestinian in exile. 

This is why no amount of oppression by #ApartheidIsrael will…"
21,"RT @M_Taqiabbas110: “Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZP…"
22,"RT @saralubaba: Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
23,"RT @caribbean_pal: Today, we commemorate 74 years of the AL NAKBA, one of the most devastating events that international oppression left on…"
24,"‘My only hobby is crying’: the boy who lost his family to an Israeli airstrike | Gaza | The Guardian https://t.co/CcVgx0VDOL
At least one western MSM shows the reality of what Israel is doing  #ApartheidIsrael"
25,RT @Hassunt1: @Tibou33969029 After 74 years of occupation to Palestine and committing crimes against Palestinians while pretending to be a…
